Training Log
Model: ViT-L-16-SigLIP2-256
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.2863, 9.74, 4.8042, 40.35, 64.93
1, 2.6893, 67.12, 1.3595, 76.51, 93.86
2, 0.8748, 82.20, 0.7742, 82.01, 96.40
3, 0.6085, 85.25, 0.6482, 83.74, 97.09
4, 0.5205, 86.64, 0.5944, 84.48, 97.40
5, 0.4722, 87.54, 0.5672, 84.86, 97.62
6, 0.4398, 88.16, 0.5537, 85.06, 97.68
7, 0.4150, 88.66, 0.5459, 85.11, 97.74
8, 0.3952, 89.06, 0.5429, 85.28, 97.80
9, 0.3794, 89.38, 0.5401, 85.23, 97.77
10, 0.3647, 89.68, 0.5411, 85.32, 97.75
11, 0.3499, 90.01, 0.5441, 85.15, 97.71
12, 0.3374, 90.30, 0.5484, 85.03, 97.73
13, 0.3271, 90.54, 0.5491, 85.12, 97.74
14, 0.3182, 90.73, 0.5603, 85.09, 97.70
15, 0.3094, 90.92, 0.5576, 85.14, 97.67
16, 0.3014, 91.10, 0.5650, 84.87, 97.65
17, 0.2950, 91.24, 0.5751, 84.76, 97.58
18, 0.2895, 91.38, 0.5806, 84.79, 97.60
19, 0.2833, 91.51, 0.5815, 84.84, 97.56
20, 0.2777, 91.66, 0.5890, 84.59, 97.56
21, 0.2731, 91.75, 0.5972, 84.52, 97.48
22, 0.2687, 91.90, 0.6075, 84.56, 97.42
23, 0.2649, 91.94, 0.6086, 84.43, 97.40
24, 0.2604, 92.05, 0.6196, 84.26, 97.45
25, 0.2571, 92.18, 0.6239, 84.38, 97.35
26, 0.2526, 92.28, 0.6334, 84.21, 97.37
27, 0.2495, 92.36, 0.6310, 84.29, 97.32
28, 0.2466, 92.44, 0.6432, 84.11, 97.33
29, 0.2430, 92.51, 0.6489, 84.16, 97.28
30, 0.2407, 92.57, 0.6545, 84.08, 97.28
31, 0.2372, 92.66, 0.6549, 84.14, 97.26
32, 0.2347, 92.70, 0.6660, 83.95, 97.21
33, 0.2307, 92.82, 0.6671, 83.97, 97.16
34, 0.2278, 92.90, 0.6743, 84.05, 97.16
35, 0.2250, 92.99, 0.6780, 83.85, 97.21
36, 0.2221, 93.06, 0.6842, 83.89, 97.17
37, 0.2196, 93.14, 0.6915, 83.79, 97.13
38, 0.2166, 93.23, 0.6905, 83.99, 97.09
39, 0.2145, 93.27, 0.6971, 83.76, 97.16
40, 0.2118, 93.37, 0.7052, 83.60, 97.09
41, 0.2087, 93.42, 0.7027, 83.75, 97.09
42, 0.2061, 93.52, 0.7133, 83.59, 97.10
43, 0.2028, 93.61, 0.7080, 83.75, 97.09
44, 0.2006, 93.68, 0.7128, 83.74, 97.13
45, 0.1979, 93.74, 0.7178, 83.46, 97.01
46, 0.1949, 93.81, 0.7268, 83.48, 97.07
47, 0.1917, 93.95, 0.7207, 83.69, 97.11
48, 0.1890, 93.99, 0.7255, 83.52, 97.08
49, 0.1861, 94.08, 0.7297, 83.52, 97.10
50, 0.1834, 94.15, 0.7281, 83.52, 97.11
51, 0.1810, 94.21, 0.7303, 83.48, 97.07
52, 0.1783, 94.32, 0.7272, 83.55, 97.00
53, 0.1756, 94.38, 0.7293, 83.57, 97.02
54, 0.1732, 94.46, 0.7337, 83.59, 97.04
55, 0.1709, 94.53, 0.7351, 83.56, 96.97
56, 0.1678, 94.65, 0.7342, 83.49, 96.98
57, 0.1659, 94.70, 0.7335, 83.53, 96.99
58, 0.1637, 94.77, 0.7346, 83.52, 97.02
59, 0.1609, 94.85, 0.7409, 83.53, 97.02
60, 0.1584, 94.94, 0.7374, 83.62, 97.07
61, 0.1563, 95.01, 0.7378, 83.48, 97.04
62, 0.1550, 95.07, 0.7400, 83.57, 97.10
63, 0.1521, 95.17, 0.7339, 83.54, 97.04
64, 0.1503, 95.23, 0.7358, 83.55, 97.01
65, 0.1481, 95.30, 0.7394, 83.37, 96.99
66, 0.1463, 95.35, 0.7365, 83.52, 97.01
67, 0.1440, 95.44, 0.7377, 83.57, 97.07
68, 0.1428, 95.48, 0.7364, 83.57, 97.02
69, 0.1404, 95.57, 0.7385, 83.50, 97.00
70, 0.1389, 95.64, 0.7365, 83.53, 97.01
71, 0.1372, 95.71, 0.7339, 83.58, 97.01
72, 0.1361, 95.74, 0.7343, 83.53, 97.00
73, 0.1343, 95.83, 0.7332, 83.49, 97.04
74, 0.1332, 95.86, 0.7350, 83.54, 97.02
75, 0.1319, 95.92, 0.7339, 83.62, 97.03
76, 0.1309, 95.93, 0.7317, 83.63, 97.01
77, 0.1297, 96.01, 0.7331, 83.55, 97.03
78, 0.1287, 96.05, 0.7331, 83.48, 97.04
79, 0.1275, 96.11, 0.7319, 83.61, 97.02
80, 0.1269, 96.13, 0.7324, 83.54, 97.02
81, 0.1262, 96.16, 0.7319, 83.56, 97.03
82, 0.1252, 96.20, 0.7335, 83.59, 97.02
83, 0.1246, 96.22, 0.7316, 83.58, 97.01
84, 0.1243, 96.24, 0.7320, 83.59, 97.03
85, 0.1236, 96.25, 0.7319, 83.55, 97.03
86, 0.1234, 96.29, 0.7317, 83.60, 97.01
87, 0.1230, 96.29, 0.7314, 83.59, 97.03
