Training Log
Model: ViT-L-16-SigLIP-256
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.7084, 20.10, 3.4189, 58.59, 82.86
1, 1.6013, 76.12, 0.8592, 81.03, 96.17
2, 0.6036, 85.09, 0.5691, 84.66, 97.63
3, 0.4614, 87.18, 0.5157, 85.36, 97.97
4, 0.4157, 88.03, 0.4978, 85.72, 98.11
5, 0.3879, 88.70, 0.4916, 85.83, 98.18
6, 0.3668, 89.18, 0.4915, 85.86, 98.19
7, 0.3498, 89.57, 0.4980, 85.75, 98.14
8, 0.3353, 89.92, 0.5037, 85.77, 98.08
9, 0.3230, 90.20, 0.5077, 85.57, 98.01
10, 0.3093, 90.53, 0.5136, 85.51, 98.04
11, 0.2936, 90.92, 0.5231, 85.60, 97.95
12, 0.2784, 91.33, 0.5327, 85.38, 97.96
13, 0.2637, 91.74, 0.5426, 85.16, 97.97
14, 0.2498, 92.10, 0.5506, 85.34, 97.84
15, 0.2361, 92.48, 0.5618, 85.17, 97.88
16, 0.2222, 92.89, 0.5787, 84.96, 97.84
17, 0.2095, 93.23, 0.5931, 84.81, 97.72
18, 0.1975, 93.61, 0.6048, 84.66, 97.75
19, 0.1866, 93.92, 0.6220, 84.65, 97.59
20, 0.1760, 94.23, 0.6437, 84.47, 97.51
21, 0.1668, 94.53, 0.6591, 84.13, 97.54
22, 0.1578, 94.81, 0.6824, 84.19, 97.50
23, 0.1504, 95.04, 0.6976, 84.29, 97.42
24, 0.1432, 95.28, 0.7150, 84.02, 97.28
25, 0.1374, 95.46, 0.7325, 84.18, 97.29
26, 0.1318, 95.63, 0.7563, 83.93, 97.27
27, 0.1262, 95.83, 0.7656, 83.97, 97.17
28, 0.1216, 95.97, 0.7900, 83.78, 97.20
29, 0.1167, 96.14, 0.7993, 83.79, 97.12
30, 0.1126, 96.29, 0.8300, 83.53, 97.09
31, 0.1092, 96.40, 0.8331, 83.83, 97.12
32, 0.1065, 96.50, 0.8579, 83.43, 97.02
33, 0.1025, 96.65, 0.8660, 83.56, 97.05
34, 0.1005, 96.73, 0.8847, 83.68, 97.00
35, 0.0974, 96.84, 0.8976, 83.47, 96.97
36, 0.0942, 96.95, 0.9240, 83.34, 96.95
37, 0.0916, 97.05, 0.9264, 83.48, 96.92
38, 0.0886, 97.14, 0.9258, 83.44, 96.96
39, 0.0861, 97.24, 0.9401, 83.49, 96.98
40, 0.0836, 97.33, 0.9600, 83.27, 96.92
41, 0.0811, 97.41, 0.9810, 83.31, 96.87
42, 0.0790, 97.50, 0.9824, 83.41, 96.82
43, 0.0765, 97.59, 0.9960, 83.52, 96.94
44, 0.0743, 97.66, 0.9999, 83.35, 96.87
45, 0.0721, 97.75, 1.0109, 83.27, 96.97
46, 0.0700, 97.82, 1.0129, 83.32, 96.89
47, 0.0676, 97.89, 1.0127, 83.41, 96.85
48, 0.0648, 97.98, 1.0330, 83.21, 96.80
49, 0.0630, 98.05, 1.0307, 83.50, 96.86
50, 0.0610, 98.13, 1.0373, 83.39, 96.90
51, 0.0584, 98.21, 1.0417, 83.42, 96.92
52, 0.0565, 98.27, 1.0568, 83.34, 96.73
53, 0.0547, 98.33, 1.0468, 83.44, 96.88
54, 0.0525, 98.42, 1.0605, 83.25, 96.86
55, 0.0506, 98.45, 1.0573, 83.37, 96.88
56, 0.0486, 98.53, 1.0570, 83.50, 96.94
57, 0.0470, 98.56, 1.0537, 83.40, 96.84
58, 0.0451, 98.62, 1.0735, 83.33, 96.91
59, 0.0433, 98.69, 1.0617, 83.55, 96.86
60, 0.0415, 98.73, 1.0715, 83.42, 96.90
61, 0.0403, 98.77, 1.0667, 83.56, 96.95
62, 0.0384, 98.82, 1.0715, 83.33, 96.85
63, 0.0368, 98.86, 1.0745, 83.46, 96.89
64, 0.0352, 98.90, 1.0680, 83.52, 96.91
65, 0.0339, 98.94, 1.0672, 83.62, 96.88
66, 0.0325, 98.98, 1.0662, 83.60, 96.95
67, 0.0314, 98.99, 1.0687, 83.56, 96.93
68, 0.0301, 99.02, 1.0644, 83.70, 96.93
69, 0.0285, 99.06, 1.0671, 83.66, 96.95
70, 0.0276, 99.07, 1.0653, 83.60, 96.90
71, 0.0265, 99.09, 1.0683, 83.70, 96.95
72, 0.0253, 99.12, 1.0642, 83.68, 96.95
73, 0.0243, 99.14, 1.0603, 83.79, 96.94
74, 0.0233, 99.16, 1.0645, 83.66, 96.94
75, 0.0224, 99.18, 1.0629, 83.68, 96.96
76, 0.0217, 99.19, 1.0613, 83.79, 96.98
77, 0.0209, 99.20, 1.0597, 83.82, 97.01
78, 0.0201, 99.22, 1.0594, 83.72, 97.00
79, 0.0197, 99.23, 1.0595, 83.77, 97.01
80, 0.0190, 99.25, 1.0577, 83.80, 96.98
81, 0.0185, 99.26, 1.0549, 83.77, 97.00
82, 0.0181, 99.28, 1.0542, 83.82, 97.00
83, 0.0176, 99.29, 1.0560, 83.84, 97.00
84, 0.0172, 99.32, 1.0572, 83.85, 97.01
85, 0.0169, 99.32, 1.0563, 83.85, 97.01
86, 0.0169, 99.33, 1.0570, 83.87, 97.00
87, 0.0166, 99.34, 1.0589, 83.85, 97.00
88, 0.0167, 99.35, 1.0551, 83.83, 96.99
89, 0.0166, 99.35, 1.0546, 83.83, 97.00

Final Results:
Max Accuracy: 85.86%
Final Val Acc1: 83.83%
Final Val Acc5: 97.00%
Total Training Time: 20:08:28
