k-NN Evaluation
Model: SigLIP ViT-L/16
Representation: pos
Protocol: features L2-normalised, cosine similarity, ImageNet-1k train as the database and val as queries
features: 'raw' is the backbone output as the probe sees it; 'final_norm' additionally applies the encoder's final LayerNorm, which forward_features skips and which the LP head otherwise absorbs into its own learned BatchNorm
features, T, k, Top1, Top5
raw, 0.07, 5, 71.84, 84.68
raw, 0.07, 10, 72.78, 87.40
raw, 0.07, 15, 72.92, 88.61
raw, 0.07, 20, 72.91, 89.34
raw, 0.07, 50, 72.25, 90.71
raw, 0.07, 100, 71.39, 90.99
raw, 0.07, 200, 70.48, 90.78
raw, 0.1, 5, 71.76, 84.68
raw, 0.1, 10, 72.68, 87.40
raw, 0.1, 15, 72.71, 88.61
raw, 0.1, 20, 72.65, 89.32
raw, 0.1, 50, 71.87, 90.64
raw, 0.1, 100, 70.88, 90.82
raw, 0.1, 200, 69.61, 90.54
raw, 0.2, 5, 71.70, 84.68
raw, 0.2, 10, 72.55, 87.40
raw, 0.2, 15, 72.52, 88.61
raw, 0.2, 20, 72.39, 89.31
raw, 0.2, 50, 71.41, 90.55
raw, 0.2, 100, 70.18, 90.67
raw, 0.2, 200, 68.72, 90.24

Best: Top1 72.92% with raw features at k=15, T=0.07
Top5: 88.61%
