Training Log
Model: ViT-L-16-SigLIP-256
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3458, 9.51, 4.9424, 43.06, 66.76
1, 2.7549, 71.06, 1.1702, 80.26, 95.72
2, 0.7170, 84.68, 0.6271, 84.05, 97.26
3, 0.5025, 86.79, 0.5482, 85.05, 97.69
4, 0.4418, 87.80, 0.5181, 85.54, 97.86
5, 0.4079, 88.46, 0.5040, 85.77, 97.97
6, 0.3844, 88.96, 0.4988, 85.86, 98.02
7, 0.3671, 89.32, 0.5004, 85.64, 98.02
8, 0.3531, 89.63, 0.5017, 85.83, 98.02
9, 0.3424, 89.86, 0.5057, 85.68, 97.98
10, 0.3320, 90.10, 0.5123, 85.64, 97.90
11, 0.3222, 90.33, 0.5207, 85.48, 97.94
12, 0.3139, 90.51, 0.5258, 85.28, 97.92
13, 0.3071, 90.66, 0.5310, 85.28, 97.86
14, 0.3019, 90.81, 0.5443, 85.03, 97.80
15, 0.2966, 90.92, 0.5483, 85.03, 97.83
16, 0.2918, 91.04, 0.5538, 84.91, 97.78
17, 0.2878, 91.13, 0.5650, 84.84, 97.73
18, 0.2850, 91.19, 0.5682, 84.77, 97.76
19, 0.2814, 91.27, 0.5756, 84.80, 97.65
20, 0.2781, 91.35, 0.5827, 84.69, 97.61
21, 0.2764, 91.41, 0.5900, 84.46, 97.63
22, 0.2730, 91.48, 0.5991, 84.44, 97.58
23, 0.2715, 91.53, 0.6056, 84.47, 97.54
24, 0.2688, 91.61, 0.6145, 84.26, 97.59
25, 0.2671, 91.66, 0.6220, 84.25, 97.49
26, 0.2650, 91.67, 0.6270, 84.11, 97.51
27, 0.2633, 91.72, 0.6313, 84.04, 97.43
28, 0.2617, 91.76, 0.6367, 84.01, 97.52
29, 0.2595, 91.81, 0.6441, 83.97, 97.42
30, 0.2579, 91.87, 0.6532, 83.91, 97.39
31, 0.2564, 91.90, 0.6549, 83.94, 97.43
32, 0.2551, 91.95, 0.6637, 83.78, 97.35
33, 0.2524, 91.99, 0.6601, 84.05, 97.36
34, 0.2507, 92.07, 0.6664, 83.87, 97.31
35, 0.2493, 92.08, 0.6750, 83.63, 97.31
36, 0.2479, 92.13, 0.6816, 83.82, 97.31
37, 0.2457, 92.17, 0.6871, 83.72, 97.28
38, 0.2441, 92.23, 0.6833, 83.81, 97.34
39, 0.2417, 92.30, 0.6868, 83.69, 97.26
40, 0.2401, 92.33, 0.6951, 83.60, 97.27
41, 0.2387, 92.37, 0.6967, 83.56, 97.23
42, 0.2371, 92.43, 0.7020, 83.52, 97.25
43, 0.2344, 92.50, 0.6959, 83.72, 97.26
44, 0.2325, 92.56, 0.7023, 83.63, 97.18
45, 0.2307, 92.60, 0.7099, 83.57, 97.20
46, 0.2290, 92.65, 0.7101, 83.60, 97.23
47, 0.2266, 92.72, 0.7088, 83.56, 97.19
48, 0.2248, 92.76, 0.7125, 83.62, 97.18
49, 0.2220, 92.87, 0.7127, 83.52, 97.17
50, 0.2205, 92.91, 0.7134, 83.50, 97.21
51, 0.2187, 92.93, 0.7137, 83.52, 97.16
52, 0.2166, 93.01, 0.7178, 83.47, 97.19
53, 0.2149, 93.07, 0.7185, 83.52, 97.18
54, 0.2128, 93.11, 0.7184, 83.44, 97.13
55, 0.2108, 93.17, 0.7216, 83.50, 97.14
56, 0.2092, 93.25, 0.7190, 83.49, 97.15
57, 0.2069, 93.30, 0.7206, 83.39, 97.14
58, 0.2051, 93.37, 0.7218, 83.47, 97.15
59, 0.2028, 93.43, 0.7259, 83.42, 97.13
60, 0.2008, 93.49, 0.7230, 83.55, 97.14
61, 0.1990, 93.57, 0.7212, 83.60, 97.16
62, 0.1978, 93.59, 0.7227, 83.57, 97.13
63, 0.1958, 93.66, 0.7192, 83.56, 97.13
64, 0.1943, 93.71, 0.7189, 83.60, 97.15
65, 0.1921, 93.79, 0.7237, 83.54, 97.17
66, 0.1908, 93.84, 0.7193, 83.60, 97.15
67, 0.1890, 93.89, 0.7212, 83.57, 97.17
68, 0.1881, 93.91, 0.7202, 83.65, 97.16
69, 0.1860, 93.98, 0.7208, 83.57, 97.17
70, 0.1849, 94.03, 0.7207, 83.52, 97.15
71, 0.1836, 94.08, 0.7208, 83.61, 97.12
72, 0.1822, 94.15, 0.7214, 83.59, 97.14
73, 0.1812, 94.19, 0.7196, 83.51, 97.11
74, 0.1798, 94.24, 0.7204, 83.68, 97.12
75, 0.1788, 94.28, 0.7182, 83.67, 97.13
76, 0.1779, 94.31, 0.7188, 83.62, 97.14
77, 0.1771, 94.35, 0.7197, 83.65, 97.14
78, 0.1761, 94.39, 0.7192, 83.58, 97.13
79, 0.1749, 94.43, 0.7179, 83.65, 97.15
80, 0.1743, 94.46, 0.7184, 83.70, 97.15
81, 0.1740, 94.48, 0.7170, 83.68, 97.12
82, 0.1734, 94.49, 0.7178, 83.68, 97.15
83, 0.1724, 94.53, 0.7185, 83.69, 97.13
84, 0.1721, 94.54, 0.7175, 83.67, 97.14

# Stopped by the 24 h wall after 85 of 90 epochs (SLURM state TIMEOUT).
# Best val acc1 85.86 at epoch 6 -- every VLM in this benchmark peaks around epoch 6 and
# declines for the rest of the schedule without recovering, so the reported number is
# the peak and the missing epochs would not change it. This run probes the encoder's
