Training Log
Model: ViT-L-16-SigLIP-256
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3428, 8.28, 4.9858, 34.78, 59.41
1, 2.9633, 62.00, 1.5761, 72.93, 92.08
2, 1.0253, 79.48, 0.8774, 79.75, 95.52
3, 0.6954, 83.34, 0.7216, 81.99, 96.40
4, 0.5867, 85.06, 0.6561, 83.06, 96.80
5, 0.5276, 86.15, 0.6226, 83.55, 97.01
6, 0.4880, 86.94, 0.6043, 83.80, 97.15
7, 0.4587, 87.52, 0.5943, 83.88, 97.23
8, 0.4351, 88.00, 0.5894, 84.11, 97.24
9, 0.4163, 88.39, 0.5879, 83.96, 97.32
10, 0.3988, 88.73, 0.5874, 83.98, 97.31
11, 0.3821, 89.13, 0.5896, 83.96, 97.28
12, 0.3676, 89.47, 0.5965, 83.80, 97.28
13, 0.3565, 89.72, 0.5980, 83.84, 97.29
14, 0.3458, 89.94, 0.6087, 83.83, 97.21
15, 0.3365, 90.13, 0.6112, 83.64, 97.26
16, 0.3278, 90.37, 0.6178, 83.49, 97.14
17, 0.3206, 90.52, 0.6260, 83.54, 97.12
18, 0.3144, 90.65, 0.6318, 83.36, 97.11
19, 0.3073, 90.80, 0.6367, 83.41, 97.12
20, 0.3016, 90.97, 0.6501, 83.36, 97.04
21, 0.2973, 91.04, 0.6561, 83.05, 97.04
22, 0.2922, 91.19, 0.6691, 82.94, 96.94
23, 0.2877, 91.28, 0.6747, 83.12, 96.93
24, 0.2830, 91.38, 0.6812, 82.90, 96.90
25, 0.2796, 91.48, 0.6913, 82.85, 96.86
26, 0.2757, 91.57, 0.7000, 82.80, 96.80
27, 0.2722, 91.68, 0.7031, 82.74, 96.75
28, 0.2687, 91.74, 0.7155, 82.53, 96.80
29, 0.2651, 91.82, 0.7212, 82.58, 96.72
30, 0.2622, 91.90, 0.7314, 82.51, 96.67
31, 0.2591, 92.00, 0.7291, 82.55, 96.68
32, 0.2566, 92.06, 0.7388, 82.48, 96.57
33, 0.2524, 92.16, 0.7436, 82.42, 96.62
34, 0.2494, 92.24, 0.7519, 82.31, 96.57
35, 0.2469, 92.30, 0.7588, 82.26, 96.61
36, 0.2441, 92.37, 0.7729, 82.16, 96.56
37, 0.2408, 92.45, 0.7774, 82.25, 96.53
38, 0.2374, 92.56, 0.7782, 82.25, 96.51
39, 0.2354, 92.62, 0.7775, 82.14, 96.47
40, 0.2329, 92.69, 0.7954, 82.10, 96.52
41, 0.2292, 92.77, 0.7930, 82.15, 96.47
42, 0.2266, 92.89, 0.8040, 81.96, 96.50
43, 0.2227, 92.97, 0.7975, 82.14, 96.49
44, 0.2205, 93.02, 0.8027, 82.07, 96.50
45, 0.2177, 93.11, 0.8071, 81.92, 96.44
46, 0.2141, 93.22, 0.8164, 81.97, 96.40
47, 0.2112, 93.30, 0.8094, 82.17, 96.43
48, 0.2086, 93.39, 0.8160, 81.99, 96.45
49, 0.2058, 93.44, 0.8187, 81.95, 96.48
50, 0.2029, 93.55, 0.8206, 81.81, 96.43
51, 0.1998, 93.62, 0.8215, 81.91, 96.47
52, 0.1968, 93.73, 0.8227, 81.99, 96.45
53, 0.1937, 93.80, 0.8259, 81.99, 96.38
54, 0.1915, 93.89, 0.8296, 81.82, 96.36
55, 0.1885, 93.96, 0.8323, 81.97, 96.41
56, 0.1853, 94.08, 0.8299, 81.88, 96.42
57, 0.1831, 94.16, 0.8296, 81.82, 96.40
58, 0.1801, 94.23, 0.8316, 81.84, 96.39
59, 0.1774, 94.32, 0.8375, 81.75, 96.37
60, 0.1747, 94.41, 0.8339, 81.94, 96.36
61, 0.1724, 94.49, 0.8315, 81.90, 96.41
62, 0.1706, 94.57, 0.8382, 81.88, 96.45
63, 0.1677, 94.65, 0.8301, 81.84, 96.33
64, 0.1655, 94.73, 0.8344, 81.78, 96.37
65, 0.1632, 94.82, 0.8321, 81.76, 96.40
66, 0.1611, 94.88, 0.8334, 81.90, 96.34
67, 0.1586, 94.98, 0.8334, 81.85, 96.39
68, 0.1573, 95.01, 0.8318, 81.78, 96.37
69, 0.1551, 95.12, 0.8341, 81.88, 96.40
70, 0.1534, 95.16, 0.8318, 81.88, 96.41
71, 0.1516, 95.25, 0.8304, 81.87, 96.42
72, 0.1501, 95.28, 0.8306, 81.78, 96.36
73, 0.1487, 95.35, 0.8314, 81.81, 96.37
74, 0.1469, 95.43, 0.8332, 81.85, 96.39
75, 0.1458, 95.46, 0.8289, 81.92, 96.38
76, 0.1443, 95.52, 0.8265, 81.88, 96.38
77, 0.1428, 95.59, 0.8304, 81.81, 96.39
78, 0.1418, 95.64, 0.8292, 81.91, 96.38
79, 0.1408, 95.68, 0.8283, 81.87, 96.39
80, 0.1398, 95.72, 0.8289, 81.81, 96.39
81, 0.1392, 95.76, 0.8282, 81.82, 96.39
82, 0.1379, 95.80, 0.8292, 81.78, 96.40
83, 0.1377, 95.80, 0.8280, 81.82, 96.38
84, 0.1371, 95.84, 0.8287, 81.87, 96.38
85, 0.1363, 95.87, 0.8283, 81.87, 96.38
86, 0.1359, 95.89, 0.8291, 81.86, 96.37
87, 0.1359, 95.88, 0.8297, 81.86, 96.37
88, 0.1355, 95.90, 0.8289, 81.84, 96.36
89, 0.1353, 95.91, 0.8294, 81.85, 96.38

Final Results:
Max Accuracy: 84.11%
Final Val Acc1: 81.85%
Final Val Acc5: 96.38%
Total Training Time: 19:56:56
