Training Log
Model: vit_base_patch16
Model Details: /scratch/project_465003083/psomasva/checkpoints/converted_checkpoints/vit_base_patch16_224.simmim/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.8251, 0.63, 6.4611, 2.31, 7.21
1, 6.0335, 4.69, 5.4273, 9.93, 23.30
2, 5.0674, 12.81, 4.4024, 19.94, 40.69
3, 4.1962, 22.71, 3.4711, 31.75, 56.73
4, 3.5097, 31.81, 2.9187, 39.86, 65.02
5, 3.1467, 37.16, 2.6341, 44.18, 69.00
6, 2.9310, 40.61, 2.4262, 47.82, 72.21
7, 2.7542, 43.53, 2.2746, 50.23, 74.28
8, 2.6114, 45.91, 2.1420, 52.93, 76.21
9, 2.5002, 47.90, 2.0742, 54.08, 77.28
10, 2.4156, 49.38, 2.0179, 54.79, 77.90
11, 2.3499, 50.52, 1.9770, 55.83, 78.47
12, 2.2990, 51.44, 1.9460, 56.61, 79.06
13, 2.2553, 52.18, 1.9156, 56.93, 79.45
14, 2.2252, 52.72, 1.8620, 58.00, 80.25
15, 2.1952, 53.23, 1.8627, 57.78, 80.09
16, 2.1708, 53.71, 1.8457, 58.43, 80.46
17, 2.1537, 54.01, 1.8303, 58.62, 80.72
18, 2.1389, 54.23, 1.8180, 58.97, 80.71
19, 2.1239, 54.59, 1.8103, 59.05, 80.90
20, 2.1095, 54.80, 1.7904, 59.36, 81.17
21, 2.0957, 55.03, 1.7833, 59.47, 81.42
22, 2.0850, 55.31, 1.7897, 59.48, 81.33
23, 2.0745, 55.39, 1.7867, 59.72, 81.29
24, 2.0650, 55.59, 1.7617, 60.22, 81.62
25, 2.0564, 55.73, 1.7511, 60.34, 81.72
26, 2.0484, 55.91, 1.7582, 60.14, 81.74
27, 2.0403, 56.01, 1.7471, 60.36, 81.86
28, 2.0331, 56.17, 1.7355, 60.64, 81.94
29, 2.0260, 56.36, 1.7420, 60.25, 81.88
30, 2.0200, 56.43, 1.7267, 60.76, 82.22
31, 2.0098, 56.60, 1.7384, 60.60, 81.86
32, 2.0041, 56.66, 1.7273, 60.81, 82.19
33, 1.9997, 56.83, 1.7318, 60.92, 82.04
34, 1.9926, 56.90, 1.7222, 60.97, 82.20
35, 1.9854, 57.09, 1.7057, 61.11, 82.47
36, 1.9814, 57.16, 1.7085, 61.09, 82.61
37, 1.9710, 57.31, 1.6855, 61.61, 82.76
38, 1.9671, 57.42, 1.6796, 61.58, 82.83
39, 1.9621, 57.52, 1.6813, 61.50, 82.84
40, 1.9540, 57.65, 1.6883, 61.61, 82.66
41, 1.9489, 57.77, 1.6782, 61.68, 82.95
42, 1.9392, 57.91, 1.6787, 61.63, 82.88
43, 1.9348, 58.06, 1.6713, 61.85, 82.90
44, 1.9296, 58.08, 1.6684, 62.07, 83.09
45, 1.9221, 58.23, 1.6560, 62.13, 83.22
46, 1.9155, 58.35, 1.6499, 62.13, 83.48
47, 1.9116, 58.45, 1.6500, 62.26, 83.35
48, 1.9034, 58.65, 1.6496, 62.27, 83.33
49, 1.8979, 58.71, 1.6326, 62.64, 83.63
50, 1.8934, 58.79, 1.6281, 62.72, 83.49
51, 1.8852, 58.98, 1.6237, 62.68, 83.62
52, 1.8777, 59.12, 1.6332, 62.66, 83.50
53, 1.8747, 59.21, 1.6277, 62.73, 83.66
54, 1.8700, 59.28, 1.6139, 62.99, 83.81
55, 1.8614, 59.42, 1.6143, 62.99, 83.77
56, 1.8572, 59.51, 1.6081, 63.15, 83.86
57, 1.8518, 59.63, 1.6010, 63.27, 83.93
58, 1.8428, 59.77, 1.5928, 63.40, 84.15
59, 1.8396, 59.83, 1.5845, 63.33, 84.14
60, 1.8348, 59.95, 1.5894, 63.54, 84.27
61, 1.8256, 60.10, 1.5855, 63.66, 84.23
62, 1.8217, 60.17, 1.5791, 63.70, 84.33
63, 1.8194, 60.26, 1.5756, 63.69, 84.37
64, 1.8117, 60.42, 1.5714, 63.87, 84.41
65, 1.8071, 60.49, 1.5700, 63.88, 84.45
66, 1.8030, 60.58, 1.5675, 64.06, 84.58
67, 1.7999, 60.67, 1.5661, 63.89, 84.44
68, 1.7934, 60.79, 1.5564, 64.21, 84.62
69, 1.7903, 60.84, 1.5541, 64.27, 84.58
70, 1.7857, 60.93, 1.5527, 64.23, 84.62
71, 1.7807, 61.01, 1.5489, 64.46, 84.68
72, 1.7767, 61.10, 1.5445, 64.37, 84.77
73, 1.7715, 61.24, 1.5429, 64.39, 84.77
74, 1.7694, 61.28, 1.5435, 64.42, 84.79
75, 1.7653, 61.32, 1.5420, 64.57, 84.81
76, 1.7625, 61.40, 1.5405, 64.62, 84.81
77, 1.7582, 61.54, 1.5355, 64.70, 84.90
78, 1.7531, 61.58, 1.5364, 64.66, 84.90
79, 1.7567, 61.50, 1.5333, 64.63, 84.96
80, 1.7523, 61.62, 1.5322, 64.69, 84.99
81, 1.7509, 61.65, 1.5310, 64.79, 85.01
82, 1.7474, 61.73, 1.5314, 64.70, 84.99
83, 1.7495, 61.71, 1.5299, 64.76, 84.99
84, 1.7466, 61.74, 1.5295, 64.86, 85.02
85, 1.7461, 61.78, 1.5309, 64.79, 85.00
86, 1.7418, 61.83, 1.5298, 64.78, 85.02
87, 1.7401, 61.87, 1.5293, 64.82, 85.02
88, 1.7426, 61.88, 1.5299, 64.80, 85.04
89, 1.7439, 61.84, 1.5300, 64.81, 85.02

Final Results:
Max Accuracy: 64.86%
Final Val Acc1: 64.81%
Final Val Acc5: 85.02%
Total Training Time: 17:00:56
