Training Log
Model: vit_base_patch16
Model Details: <checkpoints>/vit_base_patch16_224.simmim/checkpoint-799.pth
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.9070, 0.13, 6.9078, 0.10, 0.50
1, 6.9079, 0.19, 6.9082, 0.10, 0.56
2, 6.9038, 0.33, 6.9072, 0.37, 1.30
3, 6.8990, 0.53, 6.8998, 0.86, 3.30
4, 6.8872, 0.85, 6.8780, 1.52, 5.36
5, 6.8492, 1.34, 6.8103, 2.38, 7.77
6, 6.7255, 2.37, 6.5985, 3.75, 11.12
7, 6.4156, 4.47, 6.1373, 7.32, 18.10
8, 5.8884, 8.16, 5.4708, 12.27, 27.30
9, 5.2826, 12.86, 4.8114, 17.82, 36.60
10, 4.7705, 17.56, 4.2977, 22.99, 43.89
11, 4.4060, 21.23, 3.9300, 27.07, 49.41
12, 4.1492, 24.09, 3.6820, 30.11, 53.11
13, 3.9675, 26.11, 3.4872, 32.48, 56.11
14, 3.8333, 27.74, 3.3554, 34.23, 58.08
15, 3.7292, 29.07, 3.2354, 35.44, 59.71
16, 3.6489, 29.99, 3.1555, 36.74, 60.91
17, 3.5883, 30.78, 3.0824, 37.61, 61.85
18, 3.5379, 31.39, 3.0218, 38.45, 62.81
19, 3.4937, 31.94, 2.9796, 39.12, 63.29
20, 3.4600, 32.41, 2.9357, 39.58, 63.82
21, 3.4287, 32.86, 2.8991, 40.18, 64.37
22, 3.4033, 33.24, 2.8639, 40.59, 65.03
23, 3.3830, 33.49, 2.8501, 40.92, 65.27
24, 3.3609, 33.84, 2.8137, 41.53, 65.63
25, 3.3448, 34.05, 2.7912, 41.55, 65.95
26, 3.3280, 34.29, 2.7812, 41.77, 66.19
27, 3.3142, 34.46, 2.7599, 42.00, 66.46
28, 3.3028, 34.67, 2.7450, 42.37, 66.73
29, 3.2921, 34.84, 2.7282, 42.61, 67.06
30, 3.2788, 35.00, 2.7161, 42.85, 67.15
31, 3.2688, 35.19, 2.7053, 42.90, 67.22
32, 3.2588, 35.30, 2.6952, 43.11, 67.52
33, 3.2486, 35.51, 2.6806, 43.37, 67.60
34, 3.2407, 35.60, 2.6704, 43.43, 67.84
35, 3.2341, 35.68, 2.6709, 43.44, 68.03
36, 3.2238, 35.88, 2.6555, 43.79, 68.09
37, 3.2137, 36.04, 2.6482, 43.90, 68.02
38, 3.2076, 36.09, 2.6428, 43.70, 68.32
39, 3.1976, 36.25, 2.6300, 44.21, 68.50
40, 3.1931, 36.35, 2.6261, 44.21, 68.61
41, 3.1841, 36.50, 2.6241, 44.15, 68.56
42, 3.1736, 36.60, 2.6127, 44.64, 68.78
43, 3.1684, 36.69, 2.6065, 44.58, 68.80
44, 3.1601, 36.87, 2.6048, 44.59, 68.85
45, 3.1540, 36.86, 2.5962, 44.86, 69.04
46, 3.1474, 37.04, 2.5871, 44.89, 69.25
47, 3.1383, 37.19, 2.5884, 44.73, 69.12
48, 3.1310, 37.30, 2.5762, 45.21, 69.35
49, 3.1261, 37.36, 2.5773, 45.04, 69.29
50, 3.1184, 37.50, 2.5704, 45.26, 69.42
51, 3.1104, 37.65, 2.5608, 45.18, 69.42
52, 3.1033, 37.74, 2.5633, 45.34, 69.41
53, 3.0974, 37.84, 2.5545, 45.63, 69.69
54, 3.0889, 37.96, 2.5523, 45.39, 69.64
55, 3.0865, 38.05, 2.5433, 45.71, 69.80
56, 3.0737, 38.22, 2.5405, 45.67, 69.82
57, 3.0674, 38.31, 2.5371, 45.76, 70.01
58, 3.0641, 38.38, 2.5342, 45.91, 70.05
59, 3.0572, 38.52, 2.5293, 45.88, 70.05
60, 3.0492, 38.64, 2.5274, 46.00, 70.22
61, 3.0441, 38.72, 2.5253, 46.02, 70.17
62, 3.0386, 38.86, 2.5160, 46.17, 70.31
63, 3.0318, 38.97, 2.5176, 46.25, 70.35
64, 3.0263, 39.06, 2.5163, 46.27, 70.33
65, 3.0215, 39.13, 2.5098, 46.36, 70.51
66, 3.0159, 39.23, 2.5066, 46.41, 70.55
67, 3.0096, 39.36, 2.5044, 46.51, 70.56
68, 3.0036, 39.47, 2.5037, 46.59, 70.59
69, 2.9997, 39.57, 2.4982, 46.55, 70.72
70, 2.9932, 39.65, 2.4989, 46.80, 70.74
71, 2.9884, 39.74, 2.4927, 46.78, 70.78
72, 2.9865, 39.82, 2.4914, 46.85, 70.74
73, 2.9766, 39.98, 2.4951, 46.72, 70.73
74, 2.9735, 40.02, 2.4885, 46.80, 70.78
75, 2.9733, 40.06, 2.4869, 46.93, 71.01
76, 2.9694, 40.19, 2.4871, 46.89, 70.93
77, 2.9670, 40.13, 2.4856, 47.04, 70.94
78, 2.9637, 40.22, 2.4840, 46.98, 70.98
79, 2.9610, 40.31, 2.4821, 46.99, 70.99
80, 2.9579, 40.41, 2.4795, 47.06, 71.09
81, 2.9538, 40.46, 2.4789, 47.02, 71.08
82, 2.9510, 40.51, 2.4797, 47.06, 71.03
83, 2.9504, 40.53, 2.4799, 47.10, 71.02
84, 2.9491, 40.57, 2.4789, 47.15, 71.07
85, 2.9478, 40.60, 2.4818, 47.08, 71.03
86, 2.9478, 40.61, 2.4771, 47.06, 71.15
87, 2.9452, 40.61, 2.4765, 47.14, 71.06
88, 2.9447, 40.58, 2.4743, 47.13, 71.05
89, 2.9450, 40.63, 2.4808, 47.12, 71.02

Final Results:
Max Accuracy: 47.15%
Final Val Acc1: 47.12%
Final Val Acc5: 71.02%
Total Training Time: 17:28:04
