family,method,arch,pretrain,eval,image_size,lp,lp_gap,ep
MIM,MAE,ViT-S/16,IN-1K,IN-1K,224,47.4,no,64.6
MIM,MAE,ViT-B/16,IN-1K,IN-1K,224,67.7,no,75.6
MIM,MAE,ViT-L/16,IN-1K,IN-1K,224,76.0,no,79.3
MIM,BEiTv2,ViT-B/16,IN-1K,IN-1K,224,79.0,no,81.7
MIM,SimMIM,ViT-B/16,IN-1K,IN-1K,224,51.5,no,65.1
MIM,CAPI,ViT-L/14,IN-1K,IN-1K,224,81.5,no,83.6
JEA,BYOL,RN-50,IN-1K,IN-1K,224,74.3,no,75.1
JEA,DINO,ViT-B/16,IN-1K,IN-1K,224,77.3,no,77.8
Hybrid,iBOT,ViT-B/16,IN-1K,IN-1K,224,78.7,no,79.2
Hybrid,DINOv2,ViT-B/14,LVD-142M,IN-1K,224,83.2,no,84.0
Hybrid,DINOv2,ViT-L/14,LVD-142M,IN-1K,224,85.2,no,85.6
Hybrid,Franca,ViT-L/14,IN-21k,IN-1K,224,83.8,no,84.3
Hybrid,DINOv3,ViT-B/16,LVD-1689M,IN-1K,224,84.0,no,84.4
Hybrid,DINOv3,ViT-L/16,LVD-1689M,IN-1K,224,86.6,no,87.1
VLM,CLIP,ViT-L/16,WIT,IN-1K,224,82.3,no,83.4
VLM,SigLIP,ViT-L/16,WebLI,IN-1K,256,84.1,yes,86.1
VLM,SigLIP2,ViT-L/16,WebLI,IN-1K,256,85.2,yes,87.0
GEN,DiT,DiT-XL/2,IN-1K,IN-1K,256,32.7,yes,57.0
GEN,AIMv2,ViT-L/14,custom,IN-1K,224,84.8,yes,85.9
VLM,SigLIP2,SO400M/14,WebLI,IN-1K,224,-,yes,87.68
